kabupaten,kab_id,provinsi,prov_id,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total_ha,norm_2001,norm_2002,norm_2003,norm_2004,norm_2005,norm_2006,norm_2007,norm_2008,norm_2009,norm_2010,norm_2011,norm_2012,norm_2013,norm_2014,norm_2015,norm_2016,norm_2017,norm_2018,norm_2019,norm_2020,norm_2021,norm_2022,norm_2023,norm_2024,kab_id_clean
ACEH BARAT,ID-1105,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.2713279968262,251.1502799804685,77.20750835571276,352.0721154846155,541.4120070312538,93.15988931274396,24.19790438340129,14.708200909423828,251.00858629164657,74.2807080112353,52.15259880981452,3.4767262634277345,0.0891515869140625,9.895537322998049,3.476801928710937,4.100845935058592,0.8021646301269529,1859.4623542343784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19628550275334314,0.4638801443610586,0.14260398246257558,0.6502850156854605,1.0,0.1720683843411071,0.044694066753500045,0.027166373701377436,0.463618432971245,0.1371981172315363,0.09632700814262499,0.006421590615420237,0.00016466496079928293,0.01827727718352359,0.006421730370878594,0.007574353508605997,0.0014816158853319388,1105
ACEH BARAT DAYA,ID-1112,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.4416927304014,126.03732343750023,99.09779428710895,251.5371987731941,498.0892015808135,97.94223721923804,37.99985790405273,115.96186061401386,129.25295994262677,11.061260943603529,0.0,0.0,0.0,5.2628703308105536,48.79424121704104,191.50649626464795,245.92595480957004,2009.9109500546228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30404532411014423,0.25304167012151346,0.19895591788096742,0.505004320460826,1.0,0.19663593771636345,0.07629127028542369,0.23281344033554477,0.2594976151508795,0.02220738957700305,0.0,0.0,0.0,0.010566120112838199,0.09796285697858945,0.38448232898214435,0.49373878018045986,1112
ACEH BESAR,ID-1106,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106
ACEH JAYA,ID-1114,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.32111844482394,150.26942580566404,0.0,0.0,0.0,0.0,98.80739990466616,190.8130827758797,18.553006962723103,58.29980889792058,0.4456828430175781,16.574649371337898,0.7130727966308594,63.245204608154246,0.0,0.0,4.27566063232422,723.3181130431424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6358113221582514,0.787521608160189,0.0,0.0,0.0,0.0,0.5178229839760033,1.0,0.09723131502735907,0.30553360414179176,0.0023357038025587414,0.08686327546421815,0.0037370225681454036,0.33145109175998777,0.0,0.0,0.02240758636736777,1114
ACEH SELATAN,ID-1101,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83980394897461,7.768892437744143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.608696386718753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4942537150237049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101
ACEH SINGKIL,ID-1110,ACEH,ID-11,1.0718066955566408,17.95495119018553,664.6941299133346,548.9115886840732,1583.0993164795225,2302.5546835145124,269.917125677489,2039.829885324929,3594.618109753488,120.76278400268568,227.7584944966386,788.7140890811803,78.80647779332787,35.27966207275388,178.6316591491714,34.38762386474614,7.860638720703118,7.949636462402344,11.878677770996092,9.734958691406254,12.950073620605457,35.36701063232417,48.85770457763671,12.236369793701158,12633.82745796337,0.000298169836914927,0.00499495374528585,0.1849136986512645,0.15270372872007715,0.44040820697586935,0.6405561350917517,0.07508923547263813,0.5674677595904107,1.0,0.03359544193999717,0.06336097119152884,0.21941526610048398,0.021923463185003614,0.009814578627150267,0.0496941966281424,0.009566419245326835,0.002186779925070312,0.0022115385333513256,0.0033045729499790195,0.0027082038742841192,0.0036026284921525493,0.009838878443404262,0.01359190408713188,0.003404080606087055,1110
ACEH TAMIANG,ID-1116,ACEH,ID-11,0.0,0.0,0.0,0.0,8.290049096679684,6.774685064697269,38.68646085205081,2.4067942321777345,9.806228106689463,21.037782879638684,284.2022938964837,402.9233319885231,670.5981593139636,56.61598948974613,2.406756225585938,2.495830596923828,0.0,39.95551912841785,52.44056461181635,38.97415093383787,10.778076239659928,19.520614227294928,53.66225919189446,91.01041832885764,1812.585964404939,0.0,0.0,0.0,0.0,0.012362170968617903,0.010102451029134821,0.05768948261299717,0.003589026004246622,0.014623106208226766,0.03137166809578003,0.42380416639859075,0.60084169094756,1.0,0.08442610332790879,0.0035889693285888254,0.0037217975657390955,0.0,0.05958190993141586,0.07819968468965703,0.05811848778963138,0.01607233197700115,0.02910925709558305,0.08002148297989978,0.13571528204306924,1116
ACEH TENGAH,ID-1104,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104
ACEH TENGGARA,ID-1102,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102
ACEH TIMUR,ID-1103,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.92359349975586,113.00677767944292,332.0451480529801,550.716759582515,340.79004234008744,656.433862506098,337.1883060058582,243.7971179016096,192.93071771850623,57.02922070922857,246.07119836425773,96.9820656555184,55.79944096069327,12.653556646728523,619.0221712707519,3876.3899788940316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333980233988191,0.1721525718493737,0.5058318393041394,0.8389523926752013,0.519153660109851,1.0,0.5136668372325565,0.3713963154960563,0.2939073206582392,0.08687732910594446,0.37486061036647367,0.14774080253152308,0.08500390389317387,0.01927620948502025,0.9430076762150603,1103
ACEH UTARA,ID-1108,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.194466339111328,44.71214498901372,22.712614715576176,1.514190661621094,13.71656627807618,123.8061297790528,276.30295400390673,98.9163549001896,5.1336001524682136,16.705278299752035,125.44689747651876,651.9489874755925,205.4236481384278,1594.5338332093072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012569183320371534,0.06858227537424873,0.03483802437292149,0.0023225600326249175,0.021039324458786274,0.18990156002610223,0.4238106957935124,0.1517240716688632,0.00787423594650556,0.025623597276278373,0.19241827180721743,1.0,0.3150915977856602,1108
ADMINISTRASI KEPULAUAN SERIBU,ID-3101,DKI JAKARTA,ID-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3101
AGAM,ID-1306,SUMATERA BARAT,ID-13,0.0,0.0,37.725435632324206,9.83363663940431,2.771298260498046,14.035282958984384,26.819047442626957,544.1581732360927,191.3982762634264,15.5550249084473,16.270202044677756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.5663773864819,0.0,0.0,0.06932806946181135,0.01807128354045288,0.005092817487270689,0.02579265303600416,0.04928538936231513,1.0,0.35173279696450477,0.028585484282891538,0.02989976599619802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306
ALOR,ID-5305,NUSA TENGGARA TIMUR,ID-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305
ASAHAN,ID-1209,SUMATERA UTARA,ID-12,0.0,0.0,0.0,0.0,249.36553894650865,0.0,0.0,0.0,0.0,79.55967960205069,108.40145446777352,356.8105348510754,0.0,267.3373567138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.4745645812754,0.0,0.0,0.0,0.0,0.6988738128222256,0.0,0.0,0.0,0.0,0.22297458127254313,0.30380676543930474,1.0,0.0,0.7492417700767937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209
ASMAT,ID-9118,PAPUA SELATAN,ID-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9118
BADUNG,ID-5103,BALI,ID-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5103
BALANGAN,ID-6311,KALIMANTAN SELATAN,ID-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6311
BANDUNG,ID-3204,JAWA BARAT,ID-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3204
BANDUNG BARAT,ID-3217,JAWA BARAT,ID-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3217
BANGGAI,ID-7201,SULAWESI TENGAH,ID-72,0.1787503051757812,8.043746313476568,0.0,323.441832836912,24.04146814575193,81.50847006225581,10.635356652832034,34.49586279296876,143.52267631225618,399.3682130310053,296.3182697204595,80.80160413818358,10.278482586669924,3.1282299133300766,0.0,0.7149157592773437,0.0,0.0,0.0,0.0,0.0,0.0,2.949369244384765,53.62492813110356,1473.0521759460432,0.00044758270524124997,0.020141178118379902,0.0,0.8098837671184443,0.06019875233256346,0.20409353424411827,0.02663045356593352,0.08637608519506944,0.359374310797023,1.0,0.7419675879348329,0.20232357383913893,0.0257368569938538,0.00783294666740844,0.0,0.0017901168294078543,0.0,0.0,0.0,0.0,0.0,0.0,0.007385087616264012,0.1342744023719793,7201
BANGGAI KEPULAUAN,ID-7207,SULAWESI TENGAH,ID-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7207
BANGGAI LAUT,ID-7211,SULAWESI TENGAH,ID-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7211
BANGKA,ID-1901,KEPULAUAN BANGKA BELITUNG,ID-19,0.0,0.0,0.0,0.0,3.395836401367188,7.417223651123042,0.0,0.0,0.0,0.0,0.2680914367675781,196.6867792358394,517.0481907775879,86.85999535522483,45.57473449707018,13.136198260498045,96.51136311035184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.89841272583,0.0,0.0,0.0,0.0,0.006567736744732044,0.014345323672766926,0.0,0.0,0.0,0.0,0.0005185037711173417,0.3804031862872249,1.0,0.16799206902667277,0.0881440749817351,0.025406139108121697,0.18665835183604174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1901
BANGKA BARAT,ID-1905,KEPULAUAN BANGKA BELITUNG,ID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1905
BANGKA SELATAN,ID-1903,KEPULAUAN BANGKA BELITUNG,ID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.9244495904659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.9244495904659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1903
BANGKA TENGAH,ID-1904,KEPULAUAN BANGKA BELITUNG,ID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2679479553222656,0.0,1.6077941284179689,0.4466123107910156,0.0,22.237218532260076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8038496154785156,0.0,0.0,25.36342254226984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012049526559877396,0.0,0.07230194397224197,0.020084000620091233,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03614883823317882,0.0,0.0,1904
BANGKALAN,ID-3526,JAWA TIMUR,ID-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3526
BANGLI,ID-5106,BALI,ID-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5106
BANJAR,ID-6303,KALIMANTAN SELATAN,ID-63,0.0,0.0,0.0,0.0,0.0,7.675913757324228,0.0,8.479580554199213,18.29863162841799,2.4968682550168517,2.231680456542968,548.4238075257148,81.33694985124171,23.720709315640327,171.30665081444965,32.13487371826167,0.0,2.766827001953124,0.0,0.0,0.0,0.0,5.177250006103511,0.0,904.0497428848661,0.0,0.0,0.0,0.0,0.0,0.013996317541273617,0.0,0.01546172948336423,0.03336585935423672,0.004552807921088978,0.004069262540974441,1.0,0.14831039195436085,0.04325251564599172,0.31236180571248695,0.05859496483794591,0.0,0.005045052683682758,0.0,0.0,0.0,0.0,0.009440235699214714,0.0,6303
BANJARNEGARA,ID-3304,JAWA TENGAH,ID-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3304
BANTAENG,ID-7303,SULAWESI SELATAN,ID-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7303
BANTUL,ID-3402,DAERAH ISTIMEWA YOGYAKARTA,ID-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3402
BANYUASIN,ID-1607,SUMATERA SELATAN,ID-16,0.0,0.0,0.0,0.0,0.0,0.0,148.60613375854584,0.0,113.95251798706065,195.9294989624011,623.5164341735875,1283.624758721896,570.6336393310519,192.4444857482918,92.51590540771484,0.0,46.88386189575196,299.7843736572277,198.6952722229001,171.81484331664836,24.29874664916991,23.494899829101573,11.523953887939458,25.995935113525352,4023.7152606628138,0.0,0.0,0.0,0.0,0.0,0.0,0.11577069758806526,0.0,0.0887740106388436,0.1526376751703418,0.48574665605112066,1.0,0.44454863888667223,0.1499226969881047,0.07207394900970347,0.0,0.03652458522413839,0.2335451786982691,0.1547923338754706,0.13385130050601723,0.018929789632107247,0.018303557694302676,0.008977665637591666,0.020251973901944276,1607
BANYUMAS,ID-3302,JAWA TENGAH,ID-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3302
BANYUWANGI,ID-3510,JAWA TIMUR,ID-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3510
