kabupaten,kab_id,provinsi,prov_id,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total_ha,norm_2001,norm_2002,norm_2003,norm_2004,norm_2005,norm_2006,norm_2007,norm_2008,norm_2009,norm_2010,norm_2011,norm_2012,norm_2013,norm_2014,norm_2015,norm_2016,norm_2017,norm_2018,norm_2019,norm_2020,norm_2021,norm_2022,norm_2023,norm_2024,kab_id_clean
ROKAN HULU,ID-1406,RIAU,ID-14,168.48371669352227,841.2223484578332,2337.4655523186298,5453.334631679553,10982.084897749874,12559.360801997123,7819.108084868243,8831.930417095406,3722.272481734991,1577.2755476540708,910.4967845336944,5380.179747017342,3730.2284631647553,680.9073614683831,93.05994127197256,35.796348723264266,6.972621612548829,2.2348758605957038,6.34691325073242,228.39980729369947,566.9284322631827,1587.534286906223,1392.9604007526957,911.8169761050432,69826.40144047338,0.013414991363790653,0.06697971033080492,0.18611341685055646,0.43420479096455233,0.8744143170091555,1.0,0.6225721362845862,0.7032149610425237,0.296374356977076,0.12558565459822293,0.0724954716157937,0.4283800610427415,0.29700782722728963,0.05421512863617301,0.007409608079511074,0.002850172814334,0.0005551732864812738,0.00017794503206248566,0.0005053532063290329,0.018185623527702185,0.045139911274229234,0.12640247477035468,0.11091013489565445,0.07260058775921549,1406
ROTE NDAO,ID-5314,NUSA TENGGARA TIMUR,ID-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5314
SABU RAIJUA,ID-5320,NUSA TENGGARA TIMUR,ID-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5320
SAMBAS,ID-6101,KALIMANTAN BARAT,ID-61,184.17511145019432,79.35354118652363,5.9885539916992165,345.3899697757274,5348.225063306664,8889.841089535685,4730.2316485082765,7716.114308182346,6943.039612412062,6014.803706007672,4282.203259130845,4194.335324102772,2965.696316711437,1625.9371841979982,1072.0432755798356,1480.4455004333404,1160.055279846198,632.9280155151329,426.11145255737176,286.9725407226564,150.40253690795922,1230.6302513061494,1628.8279528869707,594.3689102905342,61988.12040454605,0.020717480728310044,0.008926317173422979,0.0006736401619988911,0.03885220965111392,0.6016108735174254,1.0,0.5320940611723955,0.8679698805038322,0.781008292778684,0.6765929385495714,0.4816962661089034,0.47181218222674004,0.33360509899354507,0.18289834068146665,0.12059195038275182,0.16653227943252963,0.13049224031818857,0.0711967749637458,0.04793240377029366,0.03228095281258227,0.016918473051784857,0.13843107417912517,0.18322351732521736,0.06685934026314277,6101
SAMOSIR,ID-1217,SUMATERA UTARA,ID-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217
SAMPANG,ID-3527,JAWA TIMUR,ID-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3527
SANGGAU,ID-6103,KALIMANTAN BARAT,ID-61,3.7325171631338088,36.899365941760415,4.916857275390627,0.0,40.31134599121083,1320.1195026229732,2394.716701726976,2612.996112540777,659.774702847971,411.5058233433145,1384.3385913705222,3588.4464522289445,4084.96121971859,2225.2899690070863,2498.3158435601363,443.8849599088085,246.7629521322335,37.836145633927856,180.64709094527865,30.215950061035148,190.7656412593824,206.3285983825701,115.32204770507828,191.3980325561526,22909.486423923256,0.0009137215660987202,0.009032978272509129,0.0012036484585597476,0.0,0.009868232235993625,0.3231657368619806,0.5862275240625042,0.6396624036300605,0.16151308846291137,0.10073677599604307,0.33888659326511017,0.8784530033986834,1.0,0.5447517979522911,0.611588631857867,0.10866320046470047,0.06040766089555014,0.009262302283627153,0.04422247390581673,0.007396875621530796,0.04669949872193012,0.05050931631531717,0.028230879438562388,0.04685430834257415,6103
SARMI,ID-9110,PAPUA,ID-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.882998127297785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.882998127297785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9110
SAROLANGUN,ID-1503,JAMBI,ID-15,513.6586873779357,253.74331710205269,2.553372294060202,33.64563544167909,290.69093256225784,165.0481979629337,384.6209206120755,3912.935627337647,311.61806804809726,103.99274930419892,300.2710937500002,270.42987778930694,18.31452273559571,2.501543377685547,4.556381359863282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6568.580927055389,0.13127194932348735,0.0648473016855376,0.0006525464605707074,0.008598566050157975,0.07428973033222203,0.04218014648895007,0.09829472223486865,1.0,0.07963792347387057,0.02657665732542484,0.07673806122752498,0.06911176250893421,0.004680507036109068,0.0006393009279806608,0.0011644406639430033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503
SEKADAU,ID-6109,KALIMANTAN BARAT,ID-61,0.0,0.0,0.0,5.989620275878904,0.0,22.79634413452143,13.498996527099608,166.54746687011564,479.88484095458966,69.99822380981482,128.7322310485851,269.8907461914071,135.97333319091874,17.96878442382813,0.0,64.54452692260752,0.0893973327636718,0.0,0.0,0.0,3.665269323730471,11.353396032714862,1.7879362792968747,0.0,1392.7211133178726,0.0,0.0,0.0,0.01248137003862076,0.0,0.04750378046777809,0.028129658149332926,0.3470571534179293,1.0,0.14586462800236397,0.2682565066912933,0.5624073176692536,0.2833457562869454,0.03744395090306358,0.0,0.1345000329541879,0.00018628913675589778,0.0,0.0,0.0,0.007637810180541433,0.02365858444315645,0.003725761113312731,0.0,6109
