year,kabupaten,kab_id,provinsi,prov_id,deforestasi_ha
2001,KUDUS,ID-3319,JAWA TENGAH,ID-33,0.0
2001,KULON PROGO,ID-3401,DAERAH ISTIMEWA YOGYAKARTA,ID-34,0.0
2001,KUNINGAN,ID-3208,JAWA BARAT,ID-32,0.0
2001,KUPANG,ID-5301,NUSA TENGGARA TIMUR,ID-53,0.0
2001,KUTAI BARAT,ID-6407,KALIMANTAN TIMUR,ID-64,0.0
2001,KUTAI KARTANEGARA,ID-6402,KALIMANTAN TIMUR,ID-64,0.0
2001,KUTAI TIMUR,ID-6408,KALIMANTAN TIMUR,ID-64,0.0
2001,LABUHANBATU,ID-1210,SUMATERA UTARA,ID-12,25.36952342529297
2001,LABUHANBATU SELATAN,ID-1222,SUMATERA UTARA,ID-12,50.3853138671875
2001,LABUHANBATU UTARA,ID-1223,SUMATERA UTARA,ID-12,0.0
2001,LAHAT,ID-1604,SUMATERA SELATAN,ID-16,0.0
2001,LAMANDAU,ID-6209,KALIMANTAN TENGAH,ID-62,1.518730499267578
2001,LAMONGAN,ID-3524,JAWA TIMUR,ID-35,0.0
2001,LAMPUNG BARAT,ID-1804,LAMPUNG,ID-18,0.0
2001,LAMPUNG SELATAN,ID-1801,LAMPUNG,ID-18,0.0
2001,LAMPUNG TENGAH,ID-1802,LAMPUNG,ID-18,0.0
2001,LAMPUNG TIMUR,ID-1807,LAMPUNG,ID-18,0.0
2001,LAMPUNG UTARA,ID-1803,LAMPUNG,ID-18,0.0
2001,LANDAK,ID-6108,KALIMANTAN BARAT,ID-61,3.039507708740234
2001,LANGKAT,ID-1205,SUMATERA UTARA,ID-12,0.0
2001,LANNY JAYA,ID-9123,PAPUA PEGUNUNGAN,ID-95,0.0
2001,LEBAK,ID-3602,BANTEN,ID-36,0.0
2001,LEBONG,ID-1707,BENGKULU,ID-17,0.0
2001,LEMBATA,ID-5313,NUSA TENGGARA TIMUR,ID-53,0.0
2001,LIMA PULUH KOTA,ID-1307,SUMATERA BARAT,ID-13,0.0
2001,LINGGA,ID-2104,KEPULAUAN RIAU,ID-21,0.0
2001,LOMBOK BARAT,ID-5201,NUSA TENGGARA BARAT,ID-52,0.0
2001,LOMBOK TENGAH,ID-5202,NUSA TENGGARA BARAT,ID-52,0.0
2001,LOMBOK TIMUR,ID-5203,NUSA TENGGARA BARAT,ID-52,0.0
2001,LOMBOK UTARA,ID-5208,NUSA TENGGARA BARAT,ID-52,0.0
2001,LUMAJANG,ID-3508,JAWA TIMUR,ID-35,0.0
2001,LUWU,ID-7317,SULAWESI SELATAN,ID-73,0.0
2001,LUWU TIMUR,ID-7324,SULAWESI SELATAN,ID-73,0.0
2001,LUWU UTARA,ID-7322,SULAWESI SELATAN,ID-73,0.0
2001,MADIUN,ID-3519,JAWA TIMUR,ID-35,0.0
2001,MAGELANG,ID-3308,JAWA TENGAH,ID-33,0.0
2001,MAGETAN,ID-3520,JAWA TIMUR,ID-35,0.0
2001,MAHAKAM ULU,ID-6411,KALIMANTAN TIMUR,ID-64,0.0
2001,MAJALENGKA,ID-3210,JAWA BARAT,ID-32,0.0
2001,MAJENE,ID-7605,SULAWESI BARAT,ID-76,0.0
2001,MALAKA,ID-5321,NUSA TENGGARA TIMUR,ID-53,0.0
2001,MALANG,ID-3507,JAWA TIMUR,ID-35,0.0
2001,MALINAU,ID-6502,KALIMANTAN UTARA,ID-65,0.0
2001,MALUKU BARAT DAYA,ID-8108,MALUKU,ID-81,0.0
2001,MALUKU TENGAH,ID-8101,MALUKU,ID-81,0.0
2001,MALUKU TENGGARA,ID-8102,MALUKU,ID-81,0.0
2001,MAMASA,ID-7603,SULAWESI BARAT,ID-76,0.0
2001,MAMBERAMO RAYA,ID-9120,PAPUA,ID-91,0.0
2001,MAMBERAMO TENGAH,ID-9121,PAPUA PEGUNUNGAN,ID-95,0.0
2001,MAMUJU,ID-7602,SULAWESI BARAT,ID-76,0.08932822265625
2001,MAMUJU TENGAH,ID-7606,SULAWESI BARAT,ID-76,32.69733348999016
2001,MANDAILING NATAL,ID-1213,SUMATERA UTARA,ID-12,1136.0915677063094
2001,MANGGARAI,ID-5310,NUSA TENGGARA TIMUR,ID-53,0.0
2001,MANGGARAI BARAT,ID-5315,NUSA TENGGARA TIMUR,ID-53,0.0
2001,MANGGARAI TIMUR,ID-5319,NUSA TENGGARA TIMUR,ID-53,0.0
2001,MANOKWARI,ID-9202,PAPUA BARAT,ID-92,0.0
2001,MANOKWARI SELATAN,ID-9211,PAPUA BARAT,ID-92,0.0
2001,MAPPI,ID-9117,PAPUA SELATAN,ID-93,0.0
2001,MAROS,ID-7309,SULAWESI SELATAN,ID-73,0.0
2001,MAYBRAT,ID-9210,PAPUA BARAT DAYA,ID-96,0.0
2001,MELAWI,ID-6110,KALIMANTAN BARAT,ID-61,0.0
2001,MEMPAWAH,ID-6102,KALIMANTAN BARAT,ID-61,0.0
2001,MERANGIN,ID-1502,JAMBI,ID-15,7.414484222412112
2001,MERAUKE,ID-9101,PAPUA SELATAN,ID-93,0.0
2001,MESUJI,ID-1811,LAMPUNG,ID-18,0.0
2001,MIMIKA,ID-9109,PAPUA TENGAH,ID-94,0.0
2001,MINAHASA,ID-7102,SULAWESI UTARA,ID-71,0.0
2001,MINAHASA SELATAN,ID-7105,SULAWESI UTARA,ID-71,0.0
2001,MINAHASA TENGGARA,ID-7107,SULAWESI UTARA,ID-71,0.0
2001,MINAHASA UTARA,ID-7106,SULAWESI UTARA,ID-71,0.0
2001,MOJOKERTO,ID-3516,JAWA TIMUR,ID-35,0.0
2001,MOROWALI,ID-7206,SULAWESI TENGAH,ID-72,2.3223600280761723
2001,MOROWALI UTARA,ID-7212,SULAWESI TENGAH,ID-72,0.0
2001,MUARA ENIM,ID-1603,SUMATERA SELATAN,ID-16,0.0
2001,MUARO JAMBI,ID-1505,JAMBI,ID-15,1187.738945757074
2001,MUKO MUKO,ID-1706,BENGKULU,ID-17,446.5693759765584
2001,MUNA,ID-7403,SULAWESI TENGGARA,ID-74,0.0
2001,MUNA BARAT,ID-7413,SULAWESI TENGGARA,ID-74,0.0
2001,MURUNG RAYA,ID-6212,KALIMANTAN TENGAH,ID-62,0.0
2001,MUSI BANYUASIN,ID-1606,SUMATERA SELATAN,ID-16,0.0
2001,MUSI RAWAS,ID-1605,SUMATERA SELATAN,ID-16,0.0
2001,MUSI RAWAS UTARA,ID-1613,SUMATERA SELATAN,ID-16,0.0
2001,NABIRE,ID-9104,PAPUA TENGAH,ID-94,0.0
2001,NAGAN RAYA,ID-1115,ACEH,ID-11,151.6059268798837
2001,NAGEKEO,ID-5316,NUSA TENGGARA TIMUR,ID-53,0.0
2001,NATUNA,ID-2103,KEPULAUAN RIAU,ID-21,0.0
2001,NDUGA,ID-9124,PAPUA PEGUNUNGAN,ID-95,0.0
2001,NGADA,ID-5309,NUSA TENGGARA TIMUR,ID-53,0.0
2001,NGANJUK,ID-3518,JAWA TIMUR,ID-35,0.0
2001,NGAWI,ID-3521,JAWA TIMUR,ID-35,0.0
2001,NIAS,ID-1204,SUMATERA UTARA,ID-12,0.0
2001,NIAS BARAT,ID-1225,SUMATERA UTARA,ID-12,0.0
2001,NIAS SELATAN,ID-1214,SUMATERA UTARA,ID-12,0.0
2001,NIAS UTARA,ID-1224,SUMATERA UTARA,ID-12,0.0
2001,NUNUKAN,ID-6503,KALIMANTAN UTARA,ID-65,1019.9896856811567
